#E[TeV],EA[m^2] 
0.492493476774,388.339545736
0.562731942927,1648.73463292
0.653793034805,5672.87998977
0.73878196448,15618.4388308
0.848847972294,36670.3751279
0.986208262867,69333.0851394
1.12685937594,104893.092095
1.29474234933,136195.641262
1.4876370441,168054.256149
1.69980095915,198322.533091
1.97486217303,229612.671014
2.25651319267,260807.985844
2.59269546382,288789.176858
2.96246067121,315724.61117
3.40381716753,349597.617874
3.88926298192,384646.903545
4.49359043182,407341.35735
5.16305934601,434131.224809
5.89940487387,468614.847156
6.77831634459,496263.472175
7.74502669833,532281.140601
8.89890458124,549505.871802
10.2246907377,581927.127525
11.682916335,616261.261484
13.498249232,640268.858387
15.4233434038,640268.858387
17.8198770996,673740.093996
20.4747371617,727256.168476
23.3948045351,727256.168476
26.7313262638,731903.232551
30.8849343661,746023.349444
35.2896839098,750790.333151
40.5472494863,805280.979336
46.5881033422,780038.758785
53.2324084428,805280.979336
61.1631362697,841998.278019
71.0605342073,841998.278019
81.1950500174,805280.979336
