#log(E)[TeV],EA[m^2]
-1.59827586207,4336.59663098
-1.58448275862,4695.76401633
-1.56724137931,5135.50496402
-1.56034482759,5343.94243242
-1.54310344828,5786.54062501
-1.53103448276,6265.7958667
-1.51379310345,6852.56449537
-1.5,7273.96250907
-1.47931034483,8034.66183149
-1.46379310345,8614.00627084
-1.44827586207,9143.72403343
-1.4275862069,10099.9600146
-1.41379310345,10614.949358
-1.4,11494.1050487
-1.38965517241,11725.0437218
-1.37068965517,12696.1401034
-1.35862068966,13343.5067114
-1.34827586207,13885.0867075
-1.33448275862,14738.9492232
-1.3275862069,15337.1667859
-1.31896551724,15645.3199594
-1.31379310345,15801.7106005
-1.29655172414,16941.1030678
-1.28103448276,17628.7006186
-1.26896551724,18527.574767
-1.25,19863.5174166
-1.23275862069,20876.343188
-1.21551724138,21723.6624203
-1.20517241379,22605.3722484
-1.19655172414,23059.5576461
-1.18103448276,23995.4881635
-1.17068965517,24722.281825
-1.15344827586,25982.8523288
-1.14655172414,26242.5769586
-1.14310344828,26504.8977961
-1.1224137931,27856.3625438
-1.11896551724,28134.8147844
-1.11551724138,28416.050434
-1.10172413793,29569.38777
-1.09482758621,29864.9634132
-1.08448275862,30769.5362213
-1.07586206897,31387.7553725
-1.06206896552,32018.3957353
-1.05172413793,32988.1933452
-1.04137931034,34327.1026747
-1.03620689655,34327.1026747
-1.02413793103,35016.8001771
-1.00862068966,36438.0456499
-0.986206896552,37541.7089899
-0.96724137931,38678.8009277
-0.936206896552,41467.760651
-0.898275862069,43582.1704902
-0.862068965517,45804.3924923
-0.818965517241,49107.1475609
-0.770689655172,51611.0839768
-0.718965517241,54784.9042724
-0.663793103448,56444.2712707
-0.598275862069,60514.2216158
-0.536206896552,63599.7961341
-0.468965517241,68185.7001842
-0.4,72378.7754394
-0.329310344828,77597.6934172
-0.260344827586,80747.1922266
-0.194827586207,84864.4306559
-0.137931034483,87434.8693093
-0.0741379310345,90083.1633707
-0.0172413793103,92811.670984
-0.00172413793103,93739.4165824
